State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Uttar Pradesh,Saharanpur,132,30.03381165217392,77.59905147826095,3466382,404499,9699,90.0,60.0
Uttar Pradesh,Muzaffarnagar,133,29.470507977736563,77.64017847866423,4143512,368153,10077,90.0,60.0
Uttar Pradesh,Bijnor,134,29.313974259681096,78.45098815489754,3682713,268353,7303,90.0,60.0
Uttar Pradesh,Moradabad,135,28.851770406189537,78.73580193423597,4772006,281758,11690,90.0,50.0
Uttar Pradesh,Rampur,136,28.83244727272725,79.10977333333337,2335819,131112,3847,90.0,40.0
Uttar Pradesh,Jyotiba Phule Nagar,137,28.870498984771597,78.39009365482241,1840221,89329,2825,90.0,50.0
Uttar Pradesh,Meerut,138,29.02957625698323,77.80611005586593,3443689,425624,23717,90.0,60.0
Uttar Pradesh,Baghpat,139,29.045793499999988,77.30266300000001,1303048,119121,2989,90.0,60.0
Uttar Pradesh,Ghaziabad,140,28.74997308584685,77.67441879350343,4681645,695130,78116,90.0,70.0
Uttar Pradesh,Gautam Buddha Nagar,141,28.393311038961038,77.52462467532465,1648115,257586,53181,90.0,70.0
Uttar Pradesh,Bulandshahr,142,28.34875862068968,78.01082758620684,3499171,223922,7865,90.0,60.0
Uttar Pradesh,Aligarh,143,27.93748576850093,78.00146831119557,3673889,268120,13634,90.0,60.0
Uttar Pradesh,Mathura,145,27.59390432801821,77.62153416856502,2547184,281239,8726,90.0,60.0
Uttar Pradesh,Agra,146,26.99512974910393,78.05278291517321,4418797,536402,27183,90.0,60.0
Uttar Pradesh,Firozabad,147,27.20963993055552,78.42660624999998,2498156,196080,5834,90.0,60.0
Uttar Pradesh,Mainpuri,148,27.17386862302482,79.03501851015807,1868529,79022,2642,90.0,60.0
Uttar Pradesh,Bareilly,150,28.51101940789474,79.43187072368416,4448359,272830,15164,90.0,50.0
Uttar Pradesh,Pilibhit,151,28.52024175035868,79.90103974175037,2031007,83006,2870,90.0,50.0
Uttar Pradesh,Shahjahanpur,152,27.991389350649328,79.8302275324675,3006538,115163,3889,90.0,50.0
Uttar Pradesh,Sitapur,154,27.501995963091108,80.85288881199547,4483992,102040,3874,90.0,50.0
Uttar Pradesh,Hardoi,155,27.337409090909137,80.26411767676768,4092845,95508,3845,90.0,50.0
Uttar Pradesh,Unnao,156,26.63163990895297,80.636773292868,3108367,99466,3476,90.0,60.0
Uttar Pradesh,Lucknow,157,26.838233589251463,80.89706026871404,4589838,582769,68506,90.0,70.0
Uttar Pradesh,Rae Bareli,158,26.253902840059787,81.22260463378181,3405559,247856,5184,90.0,60.0
Uttar Pradesh,Farrukhabad,159,27.45063297872342,79.4406284574468,1885204,88081,2624,90.0,60.0
Uttar Pradesh,Kannauj,160,26.993988617886185,79.64437940379408,1656616,61491,2488,90.0,60.0
Uttar Pradesh,Etawah,161,26.78817670157068,79.07621806282728,1581810,113098,2964,90.0,70.0
Uttar Pradesh,Auraiya,162,26.66892394014961,79.42637057356607,1379545,65479,2404,90.0,70.0
Uttar Pradesh,Kanpur Dehat,163,26.43047641196011,79.98710083056478,1796184,49753,2682,90.0,70.0
Uttar Pradesh,Jalaun,165,26.067954587155988,79.36686911314993,1689974,104176,2217,90.0,60.0
Uttar Pradesh,Jhansi,166,25.45581535234902,78.89954580536917,1998603,183340,8517,90.0,70.0
Uttar Pradesh,Lalitpur,167,24.58877161016945,78.60082330508473,1221592,77082,1079,90.0,50.0
Uttar Pradesh,Mahoba,169,25.34529670138888,79.67863003472216,875958,42936,1316,90.0,60.0
Uttar Pradesh,Banda,170,25.351885902503284,80.52487391304344,1799410,73522,1655,90.0,60.0
Uttar Pradesh,Chitrakoot,171,25.159924623803,81.07666087551297,991730,41046,827,90.0,50.0
Uttar Pradesh,Fatehpur,172,25.8374362030905,80.85416203090509,2632733,75263,3385,90.0,60.0
Uttar Pradesh,Kaushambi,174,25.53587532051282,81.41811282051287,1599596,43753,1503,90.0,50.0
Uttar Pradesh,Allahabad,175,25.392038662316445,82.05172446982063,5954391,391542,24122,90.0,60.0
Uttar Pradesh,Bara Banki,176,26.922777025232424,81.35762350597606,3260699,108116,3159,90.0,50.0
Uttar Pradesh,Faizabad,177,26.60589185185181,82.00783530864202,2470996,127754,4746,100.0,60.0
